state_id,state_id,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over,age_65+,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years),Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females),Estimate!!Male!!Total population,Estimate!!Male!!Total population!!AGE!!Under 5 years,Estimate!!Male!!Total population!!AGE!!5 to 9 years,Estimate!!Male!!Total population!!AGE!!10 to 14 years,Estimate!!Male!!Total population!!AGE!!15 to 19 years,Estimate!!Male!!Total population!!AGE!!20 to 24 years,Estimate!!Male!!Total population!!AGE!!25 to 29 years,Estimate!!Male!!Total population!!AGE!!30 to 34 years,Estimate!!Male!!Total population!!AGE!!35 to 39 years,Estimate!!Male!!Total population!!AGE!!40 to 44 years,Estimate!!Male!!Total population!!AGE!!45 to 49 years,Estimate!!Male!!Total population!!AGE!!50 to 54 years,Estimate!!Male!!Total population!!AGE!!55 to 59 years,Estimate!!Male!!Total population!!AGE!!60 to 64 years,Estimate!!Male!!Total population!!AGE!!65 to 69 years,Estimate!!Male!!Total population!!AGE!!70 to 74 years,Estimate!!Male!!Total population!!AGE!!75 to 79 years,Estimate!!Male!!Total population!!AGE!!80 to 84 years,Estimate!!Male!!Total population!!AGE!!85 years and over,Estimate!!Female!!Total population,Estimate!!Female!!Total population!!AGE!!Under 5 years,Estimate!!Female!!Total population!!AGE!!5 to 9 years,Estimate!!Female!!Total population!!AGE!!10 to 14 years,Estimate!!Female!!Total population!!AGE!!15 to 19 years,Estimate!!Female!!Total population!!AGE!!20 to 24 years,Estimate!!Female!!Total population!!AGE!!25 to 29 years,Estimate!!Female!!Total population!!AGE!!30 to 34 years,Estimate!!Female!!Total population!!AGE!!35 to 39 years,Estimate!!Female!!Total population!!AGE!!40 to 44 years,Estimate!!Female!!Total population!!AGE!!45 to 49 years,Estimate!!Female!!Total population!!AGE!!50 to 54 years,Estimate!!Female!!Total population!!AGE!!55 to 59 years,Estimate!!Female!!Total population!!AGE!!60 to 64 years,Estimate!!Female!!Total population!!AGE!!65 to 69 years,Estimate!!Female!!Total population!!AGE!!70 to 74 years,Estimate!!Female!!Total population!!AGE!!75 to 79 years,Estimate!!Female!!Total population!!AGE!!80 to 84 years,Estimate!!Female!!Total population!!AGE!!85 years and over
0400000US13,13,Georgia,10617423,639713,678013,758925,746150,714400,750041,708555,713413,688521,705423,691591,685356,614130,521959,411763,277818,167072,144580,1523192,37,95,5170126,331929,346749,388814,383307,366542,374776,344594,341851,336067,339409,336595,328928,288167,237838,184363,123124,65568,51505,5447297,307784,331264,370111,362843,347858,375265,363961,371562,352454,366014,354996,356428,325963,284121,227400,154694,101504,93075
0400000US15,15,Hawaii,1415872,85335,84466,82606,77697,89100,100380,95401,101412,83721,83229,84950,87409,90696,85187,68051,49696,28868,37668,269470,40,100,707855,43752,42919,42690,41298,48619,52679,50160,49136,42971,41774,42564,44139,43417,41229,32399,22216,12854,13039,708017,41583,41547,39916,36399,40481,47701,45241,52276,40750,41455,42386,43270,47279,43958,35652,27480,16014,24629
0400000US16,16,Idaho,1787065,115837,125134,129492,125543,120062,120513,114287,116501,109303,101751,100596,104642,114787,95066,79054,52430,33917,28150,288617,37,101,898044,59022,64476,66159,65257,63474,61310,56481,58490,56032,51792,50668,52418,55665,45494,39298,24424,15991,11593,889021,56815,60658,63333,60286,56588,59203,57806,58011,53271,49959,49928,52224,59122,49572,39756,28006,17926,16557
0400000US17,17,Illinois,12671821,742404,752856,823249,829525,829093,891614,856709,842867,798312,803237,799132,840754,816708,668291,513724,368932,240394,254020,2045361,39,96,6217305,378778,383859,420715,418097,423442,450372,432580,426822,392949,396957,394088,408766,393805,311416,239491,161487,98050,85631,6454516,363626,368997,402534,411428,405651,441242,424129,416045,405363,406280,405044,431988,422903,356875,274233,207445,142344,168389
0400000US18,18,Indiana,6732219,414553,413125,469734,464953,467839,457768,428551,413533,412235,415640,411780,446115,431921,357331,280044,192073,127123,127901,1084472,38,97,3319907,213705,211347,240425,239862,240557,232455,213892,208949,199680,207656,204504,218733,209419,168464,129916,85859,49119,45365,3412312,200848,201778,229309,225091,227282,225313,214659,204584,212555,207984,207276,227382,222502,188867,150128,106214,78004,82536
0400000US19,19,Iowa,3155070,190606,205431,204137,214686,217206,205568,194731,204583,187514,176295,182152,210384,208202,177535,134108,95428,69762,76742,553575,39,99,1570384,98537,108234,100629,108623,114127,106859,97424,106985,94231,89501,90542,103126,103383,84420,65581,41718,28699,27765,1584686,92069,97197,103508,106063,103079,98709,97307,97598,93283,86794,91610,107258,104819,93115,68527,53710,41063,48977
0400000US20,20,Kansas,2913314,183236,196962,203308,198860,212867,191948,185425,196332,166573,161008,166283,181715,190801,155439,119227,84450,55679,63201,477996,37,99,1446287,92742,99266,104418,101286,113358,97552,93107,100655,83825,81547,83427,88372,92448,75103,56137,35899,23046,24099,1467027,90494,97696,98890,97574,99509,94396,92318,95677,82748,79461,82856,93343,98353,80336,63090,48551,32633,39102
0400000US21,21,Kentucky,4467673,273130,264938,292075,295004,294084,303157,273535,278035,278861,279871,282529,295568,302327,252427,202505,137511,85477,76639,754559,39,97,2198205,142045,134480,151321,148200,153183,153880,139432,136650,141358,139024,139184,141680,143427,119904,92914,60874,36196,24453,2269468,131085,130458,140754,146804,140901,149277,134103,141385,137503,140847,143345,153888,158900,132523,109591,76637,49281,52186
0400000US22,22,Louisiana,4648794,292977,298089,317155,301712,298660,326337,317085,325748,281037,275891,268833,295758,307318,246837,199884,136928,83185,75360,742194,38,95,2268202,151967,152601,161404,160006,151127,160241,153553,159992,139768,133410,131623,138836,147449,114354,93290,57843,34829,25909,2380592,141010,145488,155751,141706,147533,166096,163532,165756,141269,142481,137210,156922,159869,132483,106594,79085,48356,49451
0400000US23,23,Maine,1344212,62813,64874,72870,78209,74294,82168,82063,77594,76021,84049,92380,102302,108597,92423,77133,50300,31469,34653,285978,45,95,656330,32093,32704,37521,40293,38043,41202,40233,39417,36724,41320,45005,48915,52868,42972,37734,25210,13021,11055,687882,30720,32170,35349,37916,36251,40966,41830,38177,39297,42729,47375,53387,55729,49451,39399,25090,18448,23598
0400000US24,24,Maryland,6045680,358346,359505,390637,381318,372016,405838,414737,415367,371557,384732,411222,413230,407288,317396,247137,166203,115604,113547,959887,39,94,2928013,182785,184730,198160,192824,190492,204453,204600,202827,180535,185153,197917,196631,192059,144276,111525,72754,46762,39530,3117667,175561,174775,192477,188494,181524,201385,210137,212540,191022,199579,213305,216599,215229,173120,135612,93449,68842,74017
0400000US25,25,Massachusetts,6892503,355066,355521,395607,451393,484340,502409,490198,439263,410391,429075,465330,483588,458029,372905,303252,204299,131903,159934,1172293,40,94,3345556,181456,179652,204420,227603,239525,255467,244708,219139,198576,207232,225784,240267,212056,175564,136824,88715,54074,54494,3546947,173610,175869,191187,223790,244815,246942,245490,220124,211815,221843,239546,243321,245973,197341,166428,115584,77829,105440
0400000US26,26,Michigan,9986857,567914,578688,617636,653218,674774,689462,612555,619034,554995,611179,641520,701709,697764,588009,453804,310403,200500,213693,1766409,40,97,4915905,288628,297937,314377,330959,345719,353927,311011,306889,276122,300963,315866,345004,336188,282510,209840,136314,89187,74464,5070952,279286,280751,303259,322259,329055,335535,301544,312145,278873,310216,325654,356705,361576,305499,243964,174089,111313,139229
0400000US27,27,Minnesota,5639632,349621,361330,372737,363358,345374,381052,384526,385345,345054,328488,344322,386481,370453,304894,228472,163959,112575,111591,921491,38,99,2804216,178950,185956,187178,185278,173654,194937,194332,193840,176193,167388,172008,193212,181528,147629,109376,73334,49570,39853,2835416,170671,175374,185559,178080,171720,186115,190194,191505,168861,161100,172314,193269,188925,157265,119096,90625,63005,71738
